species,n_hedges_es,n_or_es,n_total_es,n_studies
Drosophila melanogaster,50,63,113,22
Poecilia reticulata,54,35,89,26
Poecilia latipinna,28,13,41,14
Poecilia mexicana,9,6,15,4
Coturnix japonica,11,3,14,4
Taeniopygia guttata,10,4,14,7
Enchenopa binotata,6,6,12,1
Drosophila subobscura,4,4,8,1
Gasterosteus aculeatus,6,2,8,5
Etheostoma flabellare,4,2,6,2
Etheostoma zonale,4,2,6,2
Limia nigrofasciata,4,2,6,2
Limia perugiae,4,2,6,2
Porichthys notatus,3,3,6,1
Oryzias latipes,2,3,5,4
Drosophila serrata,2,2,4,2
Mus musculus,2,2,4,2
Pomatoschistus minutus,2,2,4,2
Syngnathus typhle,4,0,4,1
Amblyglyphidodon leucogaster,0,4,4,2
Dama dama,3,0,3,2
Rattus norvegicus,3,0,3,1
Rhabdoblennius nitidus,2,1,3,2
Schizocosa ocreata,1,2,3,2
Brachyrhaphis rhabdophora,1,1,2,1
Danio rerio,1,1,2,1
Drosophila simulans,1,1,2,1
Ficedula hypoleuca,1,1,2,2
Gambusia holbrooki,2,0,2,1
Poecilia formosa,2,0,2,1
Uca mjoebergi,1,1,2,2
Etheostoma olmstedi,0,2,2,1
Molothrus ater,0,2,2,1
